股票代码,行业,股票名称,市盈率得分,财务得分,总分
002688.SZ,农业综合,金河生物,24.0,63.0,43.5
002689.SZ,运输设备,远大智能,24.0,41.0,32.5
002690.SZ,专用机械,美亚光电,8.0,61.0,34.5
002691.SZ,专用机械,冀凯股份,24.0,46.0,35.0
002692.SZ,电气设备,ST远程,40.0,49.0,44.5
002693.SZ,生物制药,双成药业,32.0,40.0,36.0
002694.SZ,塑料,顾地科技,32.0,42.0,37.0
002695.SZ,食品,煌上煌,32.0,65.0,48.5
002696.SZ,饲料,百洋股份,24.0,43.0,33.5
002697.SZ,超市连锁,红旗连锁,16.0,57.0,36.5
002698.SZ,化工机械,博实股份,8.0,58.0,33.0
002699.SZ,影视音像,美盛文化,24.0,44.0,34.0
002700.SZ,供气供热,ST浩源,16.0,35.0,25.5
002701.SZ,广告包装,奥瑞金,32.0,64.0,48.0
002702.SZ,食品,海欣食品,32.0,53.0,42.5
002703.SZ,汽车配件,浙江世宝,16.0,42.0,29.0
002705.SZ,家用电器,新宝股份,24.0,68.0,46.0
002706.SZ,电气设备,良信股份,16.0,69.0,42.5
002707.SZ,旅游服务,众信旅游,16.0,52.0,34.0
002708.SZ,汽车配件,光洋股份,24.0,53.0,38.5
002709.SZ,化工原料,天赐材料,8.0,59.0,33.5
002712.SZ,广告包装,思美传媒,40.0,39.0,39.5
002713.SZ,装修装饰,东易日盛,32.0,46.0,39.0
002714.SZ,农业综合,牧原股份,72.0,64.0,68.0
002715.SZ,汽车配件,登云股份,36.0,58.0,47.0
002716.SZ,小金属,金贵银业,24.0,44.0,34.0
002717.SZ,环境保护,岭南股份,40.0,43.0,41.5
002718.SZ,家居用品,友邦吊顶,24.0,42.0,33.0
002719.SZ,乳制品,麦趣尔,24.0,40.0,32.0
002721.SZ,服饰,金一文化,40.0,38.0,39.0
002722.SZ,纺织机械,金轮股份,32.0,59.0,45.5
002723.SZ,家用电器,金莱特,16.0,47.0,31.5
002724.SZ,半导体,海洋王,24.0,56.0,40.0
002725.SZ,汽车配件,跃岭股份,24.0,58.0,41.0
002726.SZ,食品,龙大美食,40.0,52.0,46.0
002727.SZ,医药商业,一心堂,16.0,64.0,40.0
002728.SZ,中成药,特一药业,16.0,53.0,34.5
002729.SZ,元器件,好利科技,8.0,60.0,34.0
002730.SZ,电气设备,电光科技,24.0,68.0,46.0
002731.SZ,服饰,萃华珠宝,32.0,49.0,40.5
002732.SZ,乳制品,燕塘乳业,24.0,65.0,44.5
002733.SZ,电气设备,雄韬股份,24.0,59.0,41.5
002734.SZ,农药化肥,利民股份,32.0,64.0,48.0
002735.SZ,塑料,王子新材,24.0,55.0,39.5
002736.SZ,证券,国信证券,24.0,54.0,39.0
002737.SZ,中成药,葵花药业,32.0,71.0,51.5
002738.SZ,小金属,中矿资源,16.0,64.0,40.0
002739.SZ,影视音像,万达电影,24.0,53.0,38.5
002740.SZ,服饰,爱迪尔,24.0,36.0,30.0
002741.SZ,化工原料,光华科技,24.0,60.0,42.0
002742.SZ,其他建材,三圣股份,32.0,55.0,43.5
002743.SZ,钢加工,富煌钢构,32.0,52.0,42.0
002745.SZ,电气设备,木林森,40.0,63.0,51.5
002746.SZ,食品,仙坛股份,32.0,66.0,49.0
002747.SZ,机械基件,埃斯顿,8.0,53.0,30.5
002748.SZ,化工原料,世龙实业,32.0,45.0,38.5
002749.SZ,农药化肥,国光股份,8.0,67.0,37.5
002750.SZ,中成药,龙津药业,8.0,39.0,23.5
002751.SZ,家居用品,易尚展示,16.0,52.0,34.0
002752.SZ,广告包装,昇兴股份,32.0,59.0,45.5
002753.SZ,化工原料,永东股份,40.0,63.0,51.5
002755.SZ,化学制药,奥赛康,24.0,67.0,45.5
002756.SZ,特种钢,永兴材料,8.0,47.0,27.5
002757.SZ,专用机械,南兴股份,40.0,67.0,53.5
002758.SZ,医药商业,浙农股份,40.0,71.0,55.5
002759.SZ,家用电器,天际股份,8.0,66.0,37.0
002760.SZ,机械基件,凤形股份,24.0,65.0,44.5
002761.SZ,建筑工程,浙江建投,40.0,56.0,48.0
002762.SZ,服饰,金发拉比,8.0,62.0,35.0
002763.SZ,服饰,汇洁股份,24.0,76.0,50.0
002765.SZ,元器件,蓝黛科技,32.0,36.0,34.0
002766.SZ,汽车配件,*ST索菱,0.0,37.0,18.5
002767.SZ,电器仪表,先锋电子,24.0,41.0,32.5
002768.SZ,塑料,国恩股份,40.0,64.0,52.0
002769.SZ,仓储物流,普路通,24.0,47.0,35.5
002770.SZ,乳制品,*ST科迪,8.0,35.0,21.5
002771.SZ,软件服务,真视通,80.0,44.0,62.0
002772.SZ,种植业,众兴菌业,24.0,59.0,41.5
002773.SZ,化学制药,康弘药业,24.0,57.0,40.5
002774.SZ,运输设备,快意电梯,32.0,54.0,43.0
002775.SZ,建筑工程,文科园林,24.0,61.0,42.5
002776.SZ,服饰,ST柏龙,8.0,46.0,27.0
002777.SZ,软件服务,久远银海,24.0,57.0,40.5
002778.SZ,石油加工,中晟高科,16.0,59.0,37.5
002779.SZ,农用机械,中坚科技,8.0,34.0,21.0
002780.SZ,其他商业,三夫户外,8.0,44.0,26.0
002781.SZ,装修装饰,奇信股份,24.0,46.0,35.0
002782.SZ,电气设备,可立克,16.0,64.0,40.0
002783.SZ,化工原料,凯龙股份,32.0,51.0,41.5
002785.SZ,其他建材,万里石,8.0,58.0,33.0
002786.SZ,专用机械,银宝山新,40.0,40.0,40.0
002787.SZ,广告包装,华源控股,32.0,43.0,37.5
002788.SZ,医药商业,鹭燕医药,32.0,32.0,32.0
002789.SZ,装修装饰,建艺集团,24.0,46.0,35.0
002790.SZ,家居用品,瑞尔特,24.0,54.0,39.0
002791.SZ,其他建材,坚朗五金,8.0,51.0,29.5
002792.SZ,通信设备,通宇通讯,24.0,52.0,38.0
002793.SZ,化学制药,罗欣药业,32.0,49.0,40.5
002795.SZ,机械基件,永和智控,24.0,55.0,39.5
002796.SZ,通信设备,世嘉科技,32.0,63.0,47.5
002797.SZ,证券,第一创业,16.0,50.0,33.0
002798.SZ,家居用品,帝欧家居,88.0,52.0,70.0
002799.SZ,广告包装,环球印务,32.0,51.0,41.5
002800.SZ,仓储物流,天顺股份,36.0,45.0,40.5
002801.SZ,电气设备,微光股份,24.0,62.0,43.0
002802.SZ,化工原料,洪汇新材,24.0,62.0,43.0
002803.SZ,互联网,吉宏股份,32.0,70.0,51.0
002805.SZ,化工原料,丰元股份,8.0,38.0,23.0
002806.SZ,铝,华锋股份,8.0,43.0,25.5
002807.SZ,银行,江阴银行,52.0,40.0,46.0
002808.SZ,元器件,恒久科技,24.0,59.0,41.5
002809.SZ,化工原料,红墙股份,32.0,55.0,43.5
002810.SZ,化工原料,山东赫达,8.0,70.0,39.0
002811.SZ,装修装饰,郑中设计,24.0,70.0,47.0
002812.SZ,电气设备,恩捷股份,8.0,61.0,34.5
002813.SZ,汽车配件,路畅科技,8.0,43.0,25.5
002815.SZ,元器件,崇达技术,32.0,62.0,47.0
002816.SZ,专用机械,和科达,8.0,43.0,25.5
002817.SZ,化学制药,黄山胶囊,16.0,60.0,38.0
002818.SZ,其他商业,富森美,8.0,68.0,38.0
002819.SZ,电器仪表,东方中科,16.0,47.0,31.5
002820.SZ,食品,桂发祥,16.0,57.0,36.5
002821.SZ,生物制药,凯莱英,8.0,63.0,35.5
002822.SZ,装修装饰,中装建设,32.0,54.0,43.0
002823.SZ,机械基件,凯中精密,40.0,64.0,52.0
002824.SZ,铝,和胜股份,16.0,60.0,38.0
002825.SZ,化工原料,纳尔股份,24.0,62.0,43.0
002826.SZ,化学制药,易明医药,24.0,65.0,44.5
002827.SZ,化工原料,高争民爆,24.0,54.0,39.0
002828.SZ,石油开采,贝肯能源,24.0,46.0,35.0
002829.SZ,航空,星网宇达,24.0,51.0,37.5
002830.SZ,装修装饰,名雕股份,16.0,67.0,41.5
002831.SZ,广告包装,裕同科技,24.0,61.0,42.5
002832.SZ,服饰,比音勒芬,8.0,66.0,37.0
002833.SZ,专用机械,弘亚数控,24.0,68.0,46.0
002835.SZ,元器件,同为股份,32.0,54.0,43.0
002836.SZ,广告包装,新宏泽,8.0,70.0,39.0
002837.SZ,专用机械,英维克,24.0,48.0,36.0
002838.SZ,塑料,道恩股份,32.0,78.0,55.0
002839.SZ,银行,张家港行,16.0,36.0,26.0
002840.SZ,食品,华统股份,40.0,64.0,52.0
002841.SZ,元器件,视源股份,32.0,59.0,45.5
002842.SZ,小金属,翔鹭钨业,32.0,52.0,42.0
002843.SZ,钢加工,泰嘉股份,8.0,61.0,34.5
002845.SZ,元器件,同兴达,40.0,60.0,50.0
002846.SZ,广告包装,英联股份,32.0,66.0,49.0
002847.SZ,食品,盐津铺子,16.0,62.0,39.0
002848.SZ,家用电器,高斯贝尔,24.0,46.0,35.0
002849.SZ,电器仪表,威星智能,40.0,43.0,41.5
002850.SZ,电气设备,科达利,8.0,60.0,34.0
002851.SZ,电气设备,麦格米特,24.0,64.0,44.0
002852.SZ,食品,道道全,40.0,31.0,35.5
002853.SZ,家居用品,皮阿诺,24.0,55.0,39.5
002855.SZ,元器件,捷荣技术,40.0,72.0,56.0
002856.SZ,装修装饰,美芝股份,16.0,53.0,34.5
002857.SZ,电器仪表,三晖电气,8.0,56.0,32.0
002858.SZ,文教休闲,力盛赛车,16.0,69.0,42.5
002859.SZ,元器件,洁美科技,16.0,63.0,39.5
002860.SZ,家用电器,星帅尔,16.0,62.0,39.0
002861.SZ,通信设备,瀛通通讯,32.0,63.0,47.5
002862.SZ,文教休闲,实丰文化,24.0,45.0,34.5
002863.SZ,汽车配件,今飞凯达,76.0,59.0,67.5
002864.SZ,中成药,盘龙药业,24.0,59.0,41.5
002865.SZ,汽车配件,钧达股份,20.0,35.0,27.5
002866.SZ,IT设备,传艺科技,32.0,66.0,49.0
002867.SZ,服饰,周大生,24.0,74.0,49.0
002868.SZ,农业综合,绿康生化,16.0,57.0,36.5
002869.SZ,通信设备,金溢科技,24.0,72.0,48.0
002870.SZ,汽车配件,香山股份,32.0,58.0,45.0
002871.SZ,机械基件,伟隆股份,24.0,62.0,43.0
002872.SZ,化学制药,ST天圣,32.0,38.0,35.0
002873.SZ,中成药,新天药业,24.0,58.0,41.0
002875.SZ,服饰,安奈儿,32.0,72.0,52.0
002876.SZ,元器件,三利谱,24.0,51.0,37.5
002877.SZ,电器仪表,智能自控,32.0,38.0,35.0
002878.SZ,文教休闲,元隆雅图,32.0,66.0,49.0
002879.SZ,电气设备,长缆科技,24.0,52.0,38.0
002880.SZ,生物制药,卫光生物,72.0,68.0,70.0
002881.SZ,通信设备,美格智能,24.0,50.0,37.0
002882.SZ,电气设备,金龙羽,40.0,59.0,49.5
002883.SZ,建筑工程,中设股份,16.0,62.0,39.0
002884.SZ,专用机械,凌霄泵业,24.0,67.0,45.5
002885.SZ,元器件,京泉华,32.0,53.0,42.5
002886.SZ,塑料,沃特股份,16.0,60.0,38.0
002887.SZ,环境保护,绿茵生态,16.0,63.0,39.5
002888.SZ,元器件,惠威科技,16.0,56.0,36.0
002889.SZ,仓储物流,东方嘉盛,24.0,50.0,37.0
002890.SZ,农用机械,弘宇股份,8.0,51.0,29.5
002891.SZ,饲料,中宠股份,8.0,51.0,29.5
002892.SZ,电气设备,科力尔,16.0,61.0,38.5
002893.SZ,供气供热,华通热力,24.0,46.0,35.0
002895.SZ,化工原料,川恒股份,16.0,59.0,37.5
002896.SZ,机械基件,中大力德,24.0,73.0,48.5
002897.SZ,元器件,意华股份,32.0,40.0,36.0
002898.SZ,化学制药,赛隆药业,16.0,38.0,27.0
002899.SZ,文教休闲,英派斯,32.0,68.0,50.0
002900.SZ,化学制药,哈三联,16.0,50.0,33.0
002901.SZ,医疗保健,大博医疗,16.0,52.0,34.0
002902.SZ,元器件,铭普光磁,40.0,53.0,46.5
002903.SZ,机床制造,宇环数控,16.0,58.0,37.0
002905.SZ,影视音像,金逸影视,32.0,55.0,43.5
002906.SZ,汽车配件,华阳集团,16.0,60.0,38.0
002907.SZ,化学制药,华森制药,16.0,62.0,39.0
002908.SZ,元器件,德生科技,24.0,56.0,40.0
002909.SZ,化工原料,集泰股份,32.0,53.0,42.5
002910.SZ,乳制品,庄园牧场,16.0,54.0,35.0
002911.SZ,供气供热,佛燃能源,32.0,58.0,45.0
002912.SZ,软件服务,中新赛克,24.0,53.0,38.5
002913.SZ,元器件,奥士康,32.0,60.0,46.0
002915.SZ,化工原料,中欣氟材,16.0,62.0,39.0
002916.SZ,元器件,深南电路,24.0,65.0,44.5
002917.SZ,化工原料,金奥博,16.0,41.0,28.5
002918.SZ,其他建材,蒙娜丽莎,24.0,59.0,41.5
002919.SZ,日用化工,名臣健康,16.0,52.0,34.0
002920.SZ,汽车配件,德赛西威,8.0,56.0,32.0
002921.SZ,汽车配件,联诚精密,68.0,51.0,59.5
002922.SZ,电气设备,伊戈尔,24.0,52.0,38.0
002923.SZ,化学制药,润都股份,24.0,60.0,42.0
002925.SZ,元器件,盈趣科技,24.0,72.0,48.0
002926.SZ,证券,华西证券,32.0,50.0,41.0
002927.SZ,电气设备,泰永长征,24.0,55.0,39.5
002928.SZ,空运,华夏航空,16.0,56.0,36.0
002929.SZ,通信设备,润建股份,32.0,62.0,47.0
002930.SZ,仓储物流,宏川智慧,32.0,66.0,49.0
002931.SZ,汽车配件,锋龙股份,24.0,56.0,40.0
002932.SZ,医疗保健,明德生物,32.0,59.0,45.5
002933.SZ,航空,新兴装备,16.0,59.0,37.5
002935.SZ,航空,天奥电子,24.0,45.0,34.5
002936.SZ,银行,郑州银行,72.0,40.0,56.0
002937.SZ,元器件,兴瑞科技,24.0,79.0,51.5
002938.SZ,元器件,鹏鼎控股,32.0,75.0,53.5
002939.SZ,证券,长城证券,24.0,48.0,36.0
002940.SZ,化学制药,昂利康,32.0,69.0,50.5
002941.SZ,建筑工程,新疆交建,24.0,52.0,38.0
002942.SZ,农药化肥,新农股份,16.0,59.0,37.5
002943.SZ,机床制造,宇晶股份,8.0,44.0,26.0
002945.SZ,证券,华林证券,8.0,58.0,33.0
002946.SZ,乳制品,新乳业,32.0,62.0,47.0
002947.SZ,元器件,恒铭达,16.0,60.0,38.0
002948.SZ,银行,青岛银行,72.0,42.0,57.0
002949.SZ,建筑工程,华阳国际,24.0,61.0,42.5
002950.SZ,医疗保健,奥美医疗,32.0,58.0,45.0
002951.SZ,广告包装,金时科技,8.0,62.0,35.0
002952.SZ,元器件,亚世光电,24.0,48.0,36.0
002953.SZ,电气设备,日丰股份,32.0,50.0,41.0
002955.SZ,IT设备,鸿合科技,40.0,53.0,46.5
002956.SZ,食品,西麦食品,32.0,49.0,40.5
002957.SZ,专用机械,科瑞技术,24.0,55.0,39.5
002958.SZ,银行,青农商行,24.0,36.0,30.0
002959.SZ,家用电器,小熊电器,16.0,70.0,43.0
002960.SZ,专用机械,青鸟消防,24.0,47.0,35.5
002961.SZ,多元金融,瑞达期货,60.0,57.0,58.5
002962.SZ,元器件,五方光电,16.0,74.0,45.0
002963.SZ,装修装饰,豪尔赛,8.0,50.0,29.0
002965.SZ,汽车配件,祥鑫科技,48.0,47.0,47.5
002966.SZ,银行,苏州银行,60.0,38.0,49.0
002967.SZ,综合类,广电计量,24.0,66.0,45.0
002968.SZ,房产服务,新大正,52.0,62.0,57.0
002969.SZ,广告包装,嘉美包装,24.0,63.0,43.5
002970.SZ,通信设备,锐明技术,24.0,61.0,42.5
002971.SZ,化工原料,和远气体,24.0,49.0,36.5
002972.SZ,运输设备,科安达,8.0,57.0,32.5
002973.SZ,环境保护,侨银股份,32.0,71.0,51.5
002975.SZ,专用机械,博杰股份,16.0,60.0,38.0
002976.SZ,汽车配件,瑞玛精密,72.0,44.0,58.0
002977.SZ,通信设备,天箭科技,8.0,49.0,28.5
002978.SZ,小金属,安宁股份,16.0,78.0,47.0
002979.SZ,专用机械,雷赛智能,16.0,42.0,29.0
002980.SZ,电器仪表,华盛昌,72.0,65.0,68.5
002981.SZ,元器件,朝阳科技,32.0,41.0,36.5
002982.SZ,农业综合,湘佳股份,32.0,43.0,37.5
002983.SZ,元器件,芯瑞达,16.0,39.0,27.5
002984.SZ,汽车配件,森麒麟,16.0,58.0,37.0
002985.SZ,航空,北摩高科,8.0,45.0,26.5
002986.SZ,化工原料,宇新股份,24.0,48.0,36.0
002987.SZ,软件服务,京北方,32.0,53.0,42.5
002988.SZ,铝,豪美新材,32.0,34.0,33.0
002989.SZ,装修装饰,中天精装,16.0,66.0,41.0
002990.SZ,软件服务,盛视科技,16.0,40.0,28.0
002991.SZ,食品,甘源食品,16.0,41.0,28.5
002992.SZ,元器件,宝明科技,32.0,61.0,46.5
002993.SZ,元器件,奥海科技,32.0,51.0,41.5
002995.SZ,互联网,天地在线,40.0,38.0,39.0
002996.SZ,铝,顺博合金,32.0,56.0,44.0
002997.SZ,专用机械,瑞鹄模具,32.0,32.0,32.0
002998.SZ,化纤,优彩资源,24.0,59.0,41.5
002999.SZ,批发业,天禾股份,24.0,50.0,37.0
003000.SZ,食品,劲仔食品,32.0,39.0,35.5
003001.SZ,建筑工程,中岩大地,24.0,35.0,29.5
003002.SZ,化工原料,壶化股份,24.0,47.0,35.5
003003.SZ,广告包装,天元股份,32.0,54.0,43.0
003004.SZ,软件服务,声迅股份,24.0,59.0,41.5
003005.SZ,软件服务,竞业达,24.0,55.0,39.5
003006.SZ,造纸,百亚股份,8.0,65.0,36.5
003007.SZ,软件服务,直真科技,24.0,47.0,35.5
003008.SZ,电气设备,开普检测,8.0,68.0,38.0
003009.SZ,航空,中天火箭,24.0,58.0,41.0
003010.SZ,互联网,若羽臣,32.0,36.0,34.0
003011.SZ,家居用品,海象新材,24.0,37.0,30.5
003012.SZ,陶瓷,东鹏控股,32.0,54.0,43.0
003013.SZ,建筑工程,地铁设计,16.0,45.0,30.5
003015.SZ,元器件,日久光电,16.0,49.0,32.5
003016.SZ,服饰,欣贺股份,24.0,70.0,47.0
003017.SZ,化工原料,大洋生物,24.0,46.0,35.0
003018.SZ,塑料,金富科技,16.0,48.0,32.0
003019.SZ,元器件,宸展光电,32.0,40.0,36.0
003020.SZ,化学制药,立方制药,32.0,47.0,39.5
003021.SZ,元器件,兆威机电,8.0,64.0,36.0
003022.SZ,化工原料,联泓新科,16.0,53.0,34.5
003023.SZ,家用电器,彩虹集团,24.0,50.0,37.0
003025.SZ,机械基件,思进智能,8.0,65.0,36.5
003026.SZ,半导体,中晶科技,16.0,63.0,39.5
003027.SZ,环境保护,同兴环保,24.0,60.0,42.0
003028.SZ,元器件,振邦智能,24.0,60.0,42.0
003029.SZ,软件服务,吉大正元,24.0,53.0,38.5
003030.SZ,食品,祖名股份,32.0,51.0,41.5
003031.SZ,元器件,中瓷电子,8.0,59.0,33.5
003032.SZ,文教休闲,传智教育,8.0,62.0,35.0
003033.SZ,机械基件,征和工业,32.0,49.0,40.5
003035.SZ,新型电力,南网能源,8.0,53.0,30.5
003036.SZ,纺织机械,泰坦股份,16.0,44.0,30.0
003037.SZ,水泥,三和管桩,32.0,60.0,46.0
003038.SZ,铝,鑫铂股份,16.0,44.0,30.0
003039.SZ,水务,顺控发展,8.0,43.0,25.5
003040.SZ,元器件,楚天龙,8.0,36.0,22.0
003041.SZ,纺织,真爱美家,16.0,47.0,31.5
003042.SZ,农药化肥,中农联合,24.0,44.0,34.0
003043.SZ,专用机械,华亚智能,8.0,45.0,26.5
003816.SZ,新型电力,中国广核,68.0,72.0,70.0
300001.SZ,电气设备,特锐德,24.0,49.0,36.5
300002.SZ,软件服务,神州泰岳,32.0,54.0,43.0
300003.SZ,医疗保健,乐普医疗,56.0,62.0,59.0
300004.SZ,电气设备,南风股份,24.0,44.0,34.0
300005.SZ,服饰,探路者,8.0,44.0,26.0
300006.SZ,化学制药,莱美药业,24.0,42.0,33.0
300007.SZ,电器仪表,汉威科技,56.0,62.0,59.0
300008.SZ,船舶,天海防务,16.0,48.0,32.0
300009.SZ,生物制药,安科生物,24.0,67.0,45.5
300010.SZ,软件服务,豆神教育,32.0,44.0,38.0
300011.SZ,运输设备,鼎汉技术,24.0,48.0,36.0
300012.SZ,电器仪表,华测检测,16.0,65.0,40.5
300013.SZ,仓储物流,新宁物流,16.0,48.0,32.0
300014.SZ,电气设备,亿纬锂能,8.0,62.0,35.0
300015.SZ,医疗保健,爱尔眼科,16.0,67.0,41.5
300016.SZ,化学制药,北陆药业,24.0,59.0,41.5
300017.SZ,电信运营,网宿科技,24.0,56.0,40.0
300018.SZ,电气设备,中元股份,8.0,54.0,31.0
300019.SZ,化工原料,硅宝科技,24.0,58.0,41.0
300020.SZ,软件服务,银江技术,32.0,51.0,41.5
300021.SZ,农业综合,大禹节水,32.0,44.0,38.0
300022.SZ,农用机械,吉峰科技,32.0,47.0,39.5
300023.SZ,专用机械,*ST宝德,8.0,48.0,28.0
300024.SZ,专用机械,机器人,24.0,37.0,30.5
300025.SZ,通信设备,华星创业,24.0,47.0,35.5
300026.SZ,中成药,红日药业,24.0,55.0,39.5
300027.SZ,影视音像,华谊兄弟,8.0,50.0,29.0
300029.SZ,电气设备,*ST天龙,16.0,44.0,30.0
300030.SZ,医疗保健,阳普医疗,68.0,48.0,58.0
300031.SZ,互联网,宝通科技,24.0,65.0,44.5
300032.SZ,元器件,金龙机电,32.0,43.0,37.5
300033.SZ,软件服务,同花顺,56.0,58.0,57.0
300034.SZ,航空,钢研高纳,16.0,58.0,37.0
300035.SZ,电气设备,中科电气,8.0,50.0,29.0
300036.SZ,软件服务,超图软件,16.0,50.0,33.0
300037.SZ,化工原料,新宙邦,8.0,57.0,32.5
300038.SZ,互联网,*ST数知,40.0,38.0,39.0
300039.SZ,中成药,上海凯宝,16.0,63.0,39.5
300040.SZ,电气设备,九洲集团,24.0,42.0,33.0
300041.SZ,化工原料,回天新材,24.0,54.0,39.0
300042.SZ,IT设备,朗科科技,32.0,61.0,46.5
300043.SZ,文教休闲,星辉娱乐,32.0,68.0,50.0
300044.SZ,软件服务,*ST赛为,32.0,42.0,37.0
300045.SZ,IT设备,华力创通,8.0,39.0,23.5
300046.SZ,半导体,台基股份,24.0,38.0,31.0
300047.SZ,软件服务,天源迪科,40.0,74.0,57.0
300048.SZ,电气设备,合康新能,16.0,49.0,32.5
300049.SZ,医疗保健,福瑞股份,32.0,56.0,44.0
300050.SZ,软件服务,世纪鼎利,24.0,47.0,35.5
300051.SZ,互联网,ST三五,16.0,51.0,33.5
300052.SZ,互联网,中青宝,8.0,49.0,28.5
300053.SZ,半导体,欧比特,24.0,32.0,28.0
300054.SZ,化工原料,鼎龙股份,8.0,52.0,30.0
300055.SZ,环境保护,万邦达,8.0,43.0,25.5
300056.SZ,环境保护,中创环保,32.0,46.0,39.0
300057.SZ,铝,万顺新材,44.0,65.0,54.5
300058.SZ,广告包装,蓝色光标,40.0,71.0,55.5
300059.SZ,证券,东方财富,8.0,64.0,36.0
300061.SZ,互联网,旗天科技,24.0,44.0,34.0
300062.SZ,电气设备,中能电气,24.0,60.0,42.0
300063.SZ,互联网,天龙集团,40.0,60.0,50.0
300064.SZ,矿物制品,*ST金刚,32.0,34.0,33.0
300065.SZ,船舶,海兰信,8.0,50.0,29.0
300066.SZ,电器仪表,三川智慧,24.0,46.0,35.0
300067.SZ,染料涂料,安诺其,24.0,57.0,40.5
300068.SZ,电气设备,南都电源,40.0,52.0,46.0
300069.SZ,电气设备,金利华电,8.0,41.0,24.5
300070.SZ,环境保护,碧水源,24.0,59.0,41.5
300071.SZ,广告包装,*ST嘉信,24.0,48.0,36.0
300072.SZ,环境保护,三聚环保,24.0,49.0,36.5
300073.SZ,电气设备,当升科技,16.0,60.0,38.0
300074.SZ,软件服务,华平股份,48.0,52.0,50.0
300075.SZ,软件服务,数字政通,24.0,59.0,41.5
300076.SZ,IT设备,GQY视讯,8.0,48.0,28.0
300077.SZ,半导体,国民技术,8.0,37.0,22.5
300078.SZ,软件服务,思创医惠,24.0,49.0,36.5
300079.SZ,通信设备,数码视讯,8.0,66.0,37.0
300080.SZ,电气设备,易成新能,32.0,68.0,50.0
300081.SZ,文教休闲,恒信东方,8.0,44.0,26.0
300082.SZ,化工原料,奥克股份,32.0,63.0,47.5
300083.SZ,机械基件,创世纪,24.0,46.0,35.0
300084.SZ,专用机械,海默科技,32.0,45.0,38.5
300085.SZ,软件服务,银之杰,16.0,52.0,34.0
300086.SZ,化学制药,康芝药业,24.0,42.0,33.0
300087.SZ,种植业,荃银高科,16.0,51.0,33.5
300088.SZ,元器件,长信科技,24.0,75.0,49.5
300089.SZ,文教休闲,ST文化,8.0,51.0,29.5
300091.SZ,机械基件,金通灵,16.0,47.0,31.5
300092.SZ,专用机械,科新机电,32.0,56.0,44.0
300093.SZ,玻璃,金刚玻璃,8.0,40.0,24.0
300094.SZ,渔业,国联水产,32.0,44.0,38.0
300095.SZ,机械基件,华伍股份,16.0,58.0,37.0
300096.SZ,软件服务,易联众,24.0,52.0,38.0
300097.SZ,专用机械,智云股份,32.0,43.0,37.5
300098.SZ,通信设备,高新兴,24.0,42.0,33.0
300099.SZ,电器仪表,精准信息,16.0,54.0,35.0
300100.SZ,汽车服务,双林股份,24.0,45.0,34.5
300101.SZ,通信设备,振芯科技,8.0,49.0,28.5
300102.SZ,半导体,乾照光电,32.0,37.0,34.5
300103.SZ,环境保护,达刚控股,24.0,56.0,40.0
300105.SZ,电器仪表,龙源技术,28.0,42.0,35.0
300106.SZ,农业综合,西部牧业,24.0,56.0,40.0
300107.SZ,化工原料,建新股份,16.0,65.0,40.5
300108.SZ,中成药,吉药控股,24.0,40.0,32.0
300109.SZ,医疗保健,新开源,24.0,56.0,40.0
300110.SZ,化学制药,华仁药业,40.0,45.0,42.5
300111.SZ,化学制药,向日葵,8.0,48.0,28.0
300112.SZ,电器仪表,万讯自控,24.0,66.0,45.0
300113.SZ,互联网,顺网科技,8.0,56.0,32.0
300114.SZ,电器仪表,中航电测,60.0,59.0,59.5
300115.SZ,元器件,长盈精密,32.0,56.0,44.0
300116.SZ,电气设备,保力新,8.0,47.0,27.5
300117.SZ,装修装饰,嘉寓股份,24.0,49.0,36.5
300118.SZ,电气设备,东方日升,32.0,68.0,50.0
300119.SZ,农业综合,瑞普生物,16.0,58.0,37.0
300120.SZ,元器件,经纬辉开,40.0,56.0,48.0
300121.SZ,化工原料,阳谷华泰,32.0,60.0,46.0
300122.SZ,生物制药,智飞生物,32.0,70.0,51.0
300123.SZ,半导体,亚光科技,24.0,48.0,36.0
300124.SZ,电器仪表,汇川技术,8.0,61.0,34.5
300125.SZ,电气设备,聆达股份,24.0,50.0,37.0
300126.SZ,轻工机械,锐奇股份,8.0,44.0,26.0
300127.SZ,元器件,银河磁体,8.0,65.0,36.5
300128.SZ,元器件,锦富技术,24.0,48.0,36.0
300129.SZ,电气设备,泰胜风能,32.0,53.0,42.5
300130.SZ,IT设备,新国都,24.0,72.0,48.0
300131.SZ,商贸代理,英唐智控,24.0,72.0,48.0
300132.SZ,化工原料,青松股份,32.0,64.0,48.0
300133.SZ,影视音像,华策影视,32.0,56.0,44.0
300134.SZ,通信设备,大富科技,24.0,47.0,35.5
300135.SZ,化工原料,宝利国际,40.0,49.0,44.5
300136.SZ,通信设备,信维通信,24.0,72.0,48.0
300137.SZ,环境保护,先河环保,24.0,70.0,47.0
300138.SZ,食品,晨光生物,32.0,73.0,52.5
300139.SZ,元器件,晓程科技,8.0,53.0,30.5
300140.SZ,环境保护,中环装备,32.0,45.0,38.5
300141.SZ,电气设备,和顺电气,16.0,38.0,27.0
300142.SZ,生物制药,沃森生物,20.0,46.0,33.0
300143.SZ,医疗保健,盈康生命,16.0,36.0,26.0
300144.SZ,旅游景点,宋城演艺,8.0,66.0,37.0
