股票代码,行业,股票名称,市盈率得分,财务得分,总分
000514.SZ,区域地产,渝开发,28.0,34.0,31.0
000516.SZ,医疗保健,ST国医,24.0,28.0,26.0
000517.SZ,区域地产,荣安地产,32.0,52.0,42.0
000518.SZ,生物制药,四环生物,24.0,58.0,41.0
000519.SZ,专用机械,中兵红箭,24.0,70.0,47.0
000520.SZ,水运,长航凤凰,8.0,43.0,25.5
000521.SZ,家用电器,长虹美菱,52.0,33.0,42.5
000523.SZ,日用化工,*ST浪奇,8.0,40.0,24.0
000524.SZ,酒店餐饮,岭南控股,32.0,42.0,37.0
000525.SZ,农药化肥,ST红太阳,24.0,33.0,28.5
000526.SZ,文教休闲,学大教育,40.0,62.0,51.0
000528.SZ,工程机械,柳工,40.0,48.0,44.0
000529.SZ,出版业,广弘控股,32.0,50.0,41.0
000530.SZ,机械基件,冰山冷热,32.0,39.0,35.5
000531.SZ,火力发电,穗恒运A,8.0,43.0,25.5
000532.SZ,多元金融,华金资本,64.0,48.0,56.0
000533.SZ,电气设备,顺钠股份,24.0,54.0,39.0
000534.SZ,生物制药,万泽股份,24.0,41.0,32.5
000536.SZ,元器件,华映科技,32.0,27.0,29.5
000537.SZ,区域地产,广宇发展,16.0,48.0,32.0
000538.SZ,中成药,云南白药,24.0,40.0,32.0
000539.SZ,火力发电,粤电力A,24.0,53.0,38.5
000540.SZ,多元金融,中天金融,32.0,47.0,39.5
000541.SZ,家用电器,佛山照明,24.0,43.0,33.5
000543.SZ,火力发电,皖能电力,32.0,47.0,39.5
000544.SZ,环境保护,中原环保,32.0,41.0,36.5
000545.SZ,化工原料,金浦钛业,32.0,38.0,35.0
000546.SZ,环境保护,金圆股份,40.0,63.0,51.5
000547.SZ,通信设备,航天发展,16.0,47.0,31.5
000548.SZ,路桥,湖南投资,16.0,32.0,24.0
000550.SZ,汽车整车,江铃汽车,32.0,60.0,46.0
000551.SZ,专用机械,创元科技,40.0,50.0,45.0
000552.SZ,煤炭开采,靖远煤电,8.0,32.0,20.0
000553.SZ,农药化肥,安道麦A,40.0,54.0,47.0
000554.SZ,石油贸易,泰山石油,24.0,62.0,43.0
000555.SZ,软件服务,神州信息,40.0,36.0,38.0
000557.SZ,铁路,西部创业,44.0,45.0,44.5
000558.SZ,文教休闲,莱茵体育,8.0,35.0,21.5
000559.SZ,汽车配件,万向钱潮,32.0,70.0,51.0
000560.SZ,房产服务,我爱我家,40.0,62.0,51.0
000561.SZ,通信设备,烽火电子,24.0,40.0,32.0
000563.SZ,多元金融,陕国投A,16.0,50.0,33.0
000564.SZ,百货,*ST大集,8.0,33.0,20.5
000565.SZ,染料涂料,渝三峡A,16.0,41.0,28.5
000566.SZ,化学制药,海南海药,24.0,28.0,26.0
000567.SZ,多元金融,海德股份,8.0,34.0,21.0
000568.SZ,白酒,泸州老窖,8.0,61.0,34.5
000570.SZ,机械基件,苏常柴A,32.0,37.0,34.5
000571.SZ,煤炭开采,ST大洲,8.0,34.0,21.0
000572.SZ,汽车整车,海马汽车,8.0,36.0,22.0
000573.SZ,区域地产,粤宏远A,24.0,39.0,31.5
000576.SZ,食品,甘化科工,24.0,27.0,25.5
000581.SZ,汽车配件,威孚高科,32.0,53.0,42.5
000582.SZ,港口,北部湾港,24.0,56.0,40.0
000584.SZ,专用机械,哈工智能,32.0,46.0,39.0
000585.SZ,电气设备,*ST东电,8.0,37.0,22.5
000586.SZ,通信设备,汇源通信,24.0,36.0,30.0
000587.SZ,批发业,*ST金洲,32.0,34.0,33.0
000589.SZ,汽车配件,贵州轮胎,40.0,62.0,51.0
000590.SZ,中成药,启迪药业,8.0,39.0,23.5
000591.SZ,新型电力,太阳能,24.0,49.0,36.5
000592.SZ,林业,平潭发展,32.0,44.0,38.0
000593.SZ,供气供热,德龙汇能,24.0,55.0,39.5
000595.SZ,机械基件,宝塔实业,8.0,32.0,20.0
000596.SZ,白酒,古井贡酒,24.0,44.0,34.0
000597.SZ,化学制药,东北制药,40.0,60.0,50.0
000598.SZ,水务,兴蓉环境,24.0,57.0,40.5
000599.SZ,汽车配件,青岛双星,32.0,33.0,32.5
000600.SZ,火力发电,建投能源,32.0,40.0,36.0
000601.SZ,水力发电,韶能股份,32.0,41.0,36.5
000603.SZ,铅锌,盛达资源,64.0,61.0,62.5
000605.SZ,水务,渤海股份,32.0,43.0,37.5
000606.SZ,互联网,ST顺利,24.0,48.0,36.0
000607.SZ,广告包装,华媒控股,24.0,32.0,28.0
000608.SZ,区域地产,阳光股份,16.0,64.0,40.0
000609.SZ,区域地产,*ST中迪,8.0,39.0,23.5
000610.SZ,旅游服务,西安旅游,24.0,51.0,37.5
000611.SZ,商贸代理,*ST天首,8.0,46.0,27.0
000612.SZ,铝,焦作万方,60.0,55.0,57.5
000613.SZ,旅游服务,*ST东海A,20.0,43.0,31.5
000615.SZ,区域地产,奥园美谷,16.0,40.0,28.0
000616.SZ,全国地产,ST海投,8.0,52.0,30.0
000617.SZ,多元金融,中油资本,8.0,42.0,25.0
000619.SZ,其他建材,海螺型材,40.0,38.0,39.0
000620.SZ,全国地产,新华联,24.0,51.0,37.5
000622.SZ,汽车配件,恒立实业,16.0,44.0,30.0
000623.SZ,中成药,吉林敖东,8.0,37.0,22.5
000625.SZ,汽车整车,长安汽车,24.0,77.0,50.5
000626.SZ,商贸代理,远大控股,32.0,56.0,44.0
000627.SZ,保险,天茂集团,32.0,41.0,36.5
000628.SZ,园区开发,高新发展,32.0,51.0,41.5
000629.SZ,小金属,攀钢钒钛,32.0,56.0,44.0
000630.SZ,铜,铜陵有色,24.0,59.0,41.5
000631.SZ,区域地产,顺发恒业,32.0,34.0,33.0
000632.SZ,综合类,三木集团,32.0,31.0,31.5
000633.SZ,小金属,合金投资,8.0,38.0,23.0
000635.SZ,化工原料,英力特,32.0,49.0,40.5
000636.SZ,元器件,风华高科,24.0,45.0,34.5
000637.SZ,石油加工,茂化实华,24.0,45.0,34.5
000638.SZ,软件服务,*ST万方,16.0,38.0,27.0
000639.SZ,食品,西王食品,40.0,24.0,32.0
000650.SZ,中成药,仁和药业,32.0,60.0,46.0
000651.SZ,家用电器,格力电器,32.0,49.0,40.5
000652.SZ,批发业,泰达股份,24.0,48.0,36.0
000655.SZ,普钢,金岭矿业,8.0,42.0,25.0
000656.SZ,区域地产,金科股份,76.0,55.0,65.5
000657.SZ,小金属,中钨高新,32.0,53.0,42.5
000659.SZ,广告包装,珠海中富,16.0,42.0,29.0
000661.SZ,生物制药,长春高新,24.0,40.0,32.0
000663.SZ,林业,永安林业,24.0,51.0,37.5
000665.SZ,影视音像,湖北广电,32.0,41.0,36.5
000666.SZ,多元金融,经纬纺机,76.0,57.0,66.5
000667.SZ,全国地产,美好置业,16.0,50.0,33.0
000668.SZ,区域地产,荣丰控股,8.0,43.0,25.5
000669.SZ,供气供热,ST金鸿,32.0,40.0,36.0
000671.SZ,区域地产,阳光城,40.0,71.0,55.5
000672.SZ,水泥,上峰水泥,16.0,36.0,26.0
000673.SZ,影视音像,*ST当代,16.0,41.0,28.5
000676.SZ,互联网,智度股份,32.0,40.0,36.0
000677.SZ,化纤,恒天海龙,16.0,57.0,36.5
000678.SZ,汽车配件,襄阳轴承,32.0,33.0,32.5
000679.SZ,百货,大连友谊,8.0,52.0,30.0
000680.SZ,工程机械,山推股份,32.0,62.0,47.0
000681.SZ,互联网,视觉中国,8.0,44.0,26.0
000682.SZ,电气设备,东方电子,24.0,36.0,30.0
000683.SZ,化工原料,远兴能源,24.0,69.0,46.5
000685.SZ,水务,中山公用,24.0,53.0,38.5
000686.SZ,证券,东北证券,40.0,52.0,46.0
000687.SZ,通信设备,*ST华讯,8.0,38.0,23.0
000688.SZ,铅锌,国城矿业,8.0,59.0,33.5
000690.SZ,火力发电,宝新能源,16.0,47.0,31.5
000691.SZ,化工原料,亚太实业,24.0,38.0,31.0
000692.SZ,供气供热,惠天热电,32.0,32.0,32.0
000695.SZ,广告包装,滨海能源,16.0,37.0,26.5
000697.SZ,航空,炼石航空,24.0,48.0,36.0
000698.SZ,化工原料,沈阳化工,40.0,33.0,36.5
000700.SZ,汽车配件,模塑科技,40.0,62.0,51.0
000701.SZ,综合类,厦门信达,40.0,48.0,44.0
000702.SZ,饲料,正虹科技,24.0,33.0,28.5
000703.SZ,化纤,恒逸石化,40.0,53.0,46.5
000705.SZ,医药商业,浙江震元,24.0,33.0,28.5
000707.SZ,化工原料,*ST双环,32.0,27.0,29.5
000708.SZ,特种钢,中信特钢,16.0,48.0,32.0
000709.SZ,普钢,河钢股份,32.0,55.0,43.5
000710.SZ,医疗保健,贝瑞基因,32.0,38.0,35.0
000711.SZ,环境保护,京蓝科技,24.0,36.0,30.0
000712.SZ,证券,锦龙股份,16.0,34.0,25.0
000713.SZ,种植业,丰乐种业,24.0,35.0,29.5
000715.SZ,百货,中兴商业,24.0,45.0,34.5
000716.SZ,食品,黑芝麻,40.0,51.0,45.5
000717.SZ,普钢,韶钢松山,24.0,43.0,33.5
000718.SZ,区域地产,苏宁环球,16.0,45.0,30.5
000719.SZ,出版业,中原传媒,40.0,61.0,50.5
000720.SZ,区域地产,新能泰山,24.0,51.0,37.5
000721.SZ,酒店餐饮,西安饮食,24.0,37.0,30.5
000722.SZ,水力发电,湖南发展,8.0,26.0,17.0
000723.SZ,焦炭加工,美锦能源,8.0,58.0,33.0
000725.SZ,元器件,京东方A,40.0,51.0,45.5
000726.SZ,纺织,鲁泰A,32.0,42.0,37.0
000727.SZ,元器件,冠捷科技,40.0,32.0,36.0
000728.SZ,证券,国元证券,24.0,44.0,34.0
000729.SZ,啤酒,燕京啤酒,32.0,55.0,43.5
000731.SZ,农药化肥,四川美丰,24.0,57.0,40.5
000732.SZ,区域地产,泰禾集团,16.0,44.0,30.0
000733.SZ,元器件,振华科技,8.0,47.0,27.5
000735.SZ,农业综合,罗牛山,64.0,37.0,50.5
000736.SZ,全国地产,中交地产,32.0,34.0,33.0
000737.SZ,日用化工,北方铜业,20.0,29.0,24.5
000738.SZ,航空,航发控制,24.0,65.0,44.5
000739.SZ,化学制药,普洛药业,48.0,50.0,49.0
000750.SZ,证券,国海证券,32.0,38.0,35.0
000751.SZ,铅锌,锌业股份,24.0,40.0,32.0
000752.SZ,啤酒,*ST西发,32.0,32.0,32.0
000753.SZ,汽车服务,漳州发展,24.0,48.0,36.0
000755.SZ,路桥,山西路桥,16.0,52.0,34.0
000756.SZ,化学制药,新华制药,52.0,62.0,57.0
000757.SZ,汽车配件,浩物股份,40.0,47.0,43.5
000758.SZ,铅锌,中色股份,24.0,34.0,29.0
000759.SZ,超市连锁,中百集团,40.0,49.0,44.5
000761.SZ,普钢,本钢板材,32.0,47.0,39.5
000762.SZ,小金属,西藏矿业,8.0,52.0,30.0
000766.SZ,化学制药,通化金马,24.0,33.0,28.5
000767.SZ,火力发电,晋控电力,24.0,52.0,38.0
000768.SZ,航空,中航西飞,32.0,33.0,32.5
000776.SZ,证券,广发证券,24.0,50.0,37.0
000777.SZ,机械基件,中核科技,24.0,45.0,34.5
000778.SZ,钢加工,新兴铸管,32.0,47.0,39.5
000779.SZ,建筑工程,甘咨询,24.0,36.0,30.0
000782.SZ,化纤,美达股份,32.0,43.0,37.5
000783.SZ,证券,长江证券,32.0,36.0,34.0
000785.SZ,百货,居然之家,16.0,64.0,40.0
000786.SZ,其他建材,北新建材,16.0,44.0,30.0
000788.SZ,化学制药,北大医药,32.0,43.0,37.5
000789.SZ,水泥,万年青,32.0,42.0,37.0
000790.SZ,中成药,华神科技,16.0,31.0,23.5
000791.SZ,水力发电,甘肃电投,24.0,47.0,35.5
000792.SZ,化工原料,盐湖股份,8.0,44.0,26.0
000793.SZ,出版业,华闻集团,16.0,30.0,23.0
000795.SZ,矿物制品,英洛华,76.0,46.0,61.0
000796.SZ,旅游服务,凯撒旅业,24.0,44.0,34.0
000797.SZ,全国地产,中国武夷,24.0,36.0,30.0
000798.SZ,渔业,中水渔业,16.0,34.0,25.0
000799.SZ,白酒,酒鬼酒,8.0,61.0,34.5
000800.SZ,汽车整车,一汽解放,32.0,52.0,42.0
000801.SZ,家用电器,四川九洲,16.0,44.0,30.0
000802.SZ,影视音像,ST北文,24.0,34.0,29.0
000803.SZ,环境保护,北清环能,8.0,39.0,23.5
000806.SZ,电气设备,ST银河,24.0,36.0,30.0
000807.SZ,铝,云铝股份,56.0,54.0,55.0
000809.SZ,区域地产,铁岭新城,8.0,45.0,26.5
000810.SZ,家用电器,创维数字,56.0,54.0,55.0
000811.SZ,工程机械,冰轮环境,24.0,52.0,38.0
000812.SZ,广告包装,陕西金叶,16.0,26.0,21.0
000813.SZ,化学制药,德展健康,8.0,46.0,27.0
000815.SZ,造纸,美利云,16.0,31.0,23.5
000816.SZ,农用机械,智慧农业,16.0,25.0,20.5
000818.SZ,化工原料,航锦科技,16.0,51.0,33.5
000819.SZ,石油加工,岳阳兴长,20.0,43.0,31.5
000820.SZ,环境保护,*ST节能,8.0,42.0,25.0
000821.SZ,轻工机械,京山轻机,24.0,32.0,28.0
000822.SZ,化工原料,山东海化,40.0,37.0,38.5
000823.SZ,元器件,超声电子,40.0,62.0,51.0
000825.SZ,特种钢,太钢不锈,32.0,63.0,47.5
000826.SZ,环境保护,启迪环境,40.0,33.0,36.5
000828.SZ,路桥,东莞控股,8.0,48.0,28.0
000829.SZ,其他商业,天音控股,40.0,56.0,48.0
000830.SZ,农药化肥,鲁西化工,32.0,49.0,40.5
000831.SZ,小金属,五矿稀土,16.0,49.0,32.5
000833.SZ,食品,粤桂股份,32.0,43.0,37.5
000835.SZ,影视音像,*ST长动,16.0,42.0,29.0
000836.SZ,通信设备,富通信息,24.0,41.0,32.5
000837.SZ,机床制造,秦川机床,40.0,47.0,43.5
000838.SZ,区域地产,财信发展,24.0,54.0,39.0
000839.SZ,综合类,中信国安,24.0,38.0,31.0
000848.SZ,软饮料,承德露露,24.0,44.0,34.0
000850.SZ,纺织,华茂股份,32.0,64.0,48.0
000851.SZ,通信设备,高鸿股份,40.0,37.0,38.5
000852.SZ,化工机械,石化机械,32.0,38.0,35.0
000856.SZ,机械基件,冀东装备,40.0,46.0,43.0
000858.SZ,白酒,五粮液,16.0,45.0,30.5
000859.SZ,塑料,国风新材,24.0,56.0,40.0
000860.SZ,白酒,顺鑫农业,40.0,31.0,35.5
000861.SZ,其他商业,海印股份,8.0,50.0,29.0
000862.SZ,新型电力,银星能源,72.0,41.0,56.5
000863.SZ,区域地产,三湘印象,24.0,74.0,49.0
000868.SZ,汽车整车,安凯客车,24.0,44.0,34.0
000869.SZ,红黄酒,张裕A,24.0,48.0,36.0
000875.SZ,火力发电,吉电股份,8.0,54.0,31.0
000876.SZ,饲料,新希望,32.0,48.0,40.0
000877.SZ,水泥,天山股份,24.0,45.0,34.5
000878.SZ,铜,云南铜业,32.0,36.0,34.0
000880.SZ,机械基件,潍柴重机,40.0,52.0,46.0
000881.SZ,综合类,中广核技,32.0,58.0,45.0
000882.SZ,其他商业,华联股份,16.0,58.0,37.0
000883.SZ,火力发电,湖北能源,8.0,54.0,31.0
000885.SZ,路桥,城发环境,40.0,54.0,47.0
000886.SZ,路桥,海南高速,8.0,44.0,26.0
000887.SZ,汽车配件,中鼎股份,24.0,61.0,42.5
000888.SZ,旅游景点,峨眉山A,24.0,54.0,39.0
000889.SZ,通信设备,中嘉博创,32.0,53.0,42.5
000890.SZ,钢加工,法尔胜,8.0,52.0,30.0
000892.SZ,影视音像,欢瑞世纪,16.0,36.0,26.0
000893.SZ,农药化肥,亚钾国际,8.0,57.0,32.5
000895.SZ,食品,双汇发展,32.0,40.0,36.0
000897.SZ,区域地产,津滨发展,60.0,46.0,53.0
000898.SZ,普钢,鞍钢股份,24.0,54.0,39.0
000899.SZ,火力发电,赣能股份,8.0,51.0,29.5
000900.SZ,路桥,现代投资,40.0,36.0,38.0
000901.SZ,汽车配件,航天科技,32.0,36.0,34.0
000902.SZ,农药化肥,新洋丰,24.0,50.0,37.0
000903.SZ,汽车配件,云内动力,40.0,44.0,42.0
000905.SZ,港口,厦门港务,40.0,28.0,34.0
000906.SZ,仓储物流,浙商中拓,40.0,51.0,45.5
000908.SZ,化学制药,景峰医药,16.0,26.0,21.0
000909.SZ,综合类,数源科技,24.0,40.0,32.0
000910.SZ,家居用品,大亚圣象,40.0,61.0,50.5
000911.SZ,食品,南宁糖业,32.0,44.0,38.0
000912.SZ,农药化肥,泸天化,72.0,44.0,58.0
000913.SZ,摩托车,钱江摩托,24.0,60.0,42.0
000915.SZ,化学制药,华特达因,72.0,64.0,68.0
000917.SZ,影视音像,电广传媒,40.0,43.0,41.5
000918.SZ,全国地产,嘉凯城,8.0,41.0,24.5
000919.SZ,化学制药,金陵药业,40.0,49.0,44.5
000920.SZ,环境保护,沃顿科技,24.0,54.0,39.0
000921.SZ,家用电器,海信家电,40.0,47.0,43.5
000922.SZ,电气设备,佳电股份,24.0,42.0,33.0
000923.SZ,普钢,河钢资源,8.0,66.0,37.0
000925.SZ,专用机械,众合科技,40.0,48.0,44.0
000926.SZ,区域地产,福星股份,32.0,62.0,47.0
000927.SZ,批发业,中国铁物,24.0,43.0,33.5
000928.SZ,建筑工程,中钢国际,24.0,59.0,41.5
000929.SZ,啤酒,兰州黄河,8.0,34.0,21.0
000930.SZ,农业综合,中粮科技,32.0,59.0,45.5
